MatchID,BatsmanID,RunsScored,BallsFaced,DismissedBy/RunOut/NotOut
1,MI1,12,10,CSK4
1,MI7,33,20,CSK5
1,MI21,17,16,CSK3
1,MI19,42,31,CSK10
1,MI12,14,10,CSK10
1,MI15,18,14,CSK14
1,MI13,3,3,CSK14
1,MI14,11,8,CSK14
1,MI5,2,4,NO
1,MI3,0,1,CSK3
1,MI4,5,3,NO
1,CSK19,1,7,MI14
1,CSK20,4,5,MI3
1,CSK6,58,44,NO
1,CSK15,71,48,MI5
1,CSK10,10,5,MI13
1,CSK5,18,6,MI4
1,CSK1,0,2,NO
2,DC19,5,9,KXIP13
2,DC6,0,2,RO
2,DC8,7,13,KXIP13
2,DC1,39,32,KXIP13
2,DC11,31,29,KXIP19
2,DC20,53,21,RO
2,DC12,6,9,KXIP5
2,DC2,4,6,KXIP5
2,DC15,0,0,NO
2,DC10,3,1,NO
2,KXIP1,21,19,DC18
2,KXIP2,89,60,DC20
2,KXIP15,1,3,DC2
2,KXIP17,0,3,DC2
2,KXIP12,1,4,DC15
2,KXIP10,12,12,DC12
2,KXIP7,20,14,DC15
2,KXIP9,5,6,DC20
2,KXIP13,0,0,NO
3,RCB12,56,42,SRH20
3,RCB7,29,27,SRH3
3,RCB1,14,13,SRH14
3,RCB5,51,30,RO
3,RCB6,7,8,RO
3,RCB14,1,2,NO
3,SRH1,6,6,RO
3,SRH6,61,43,RCB3
3,SRH15,34,33,RCB3
3,SRH8,12,13,RCB6
3,SRH20,0,1,RCB3
3,SRH3,7,4,RO
3,SRH16,6,5,RCB16
3,SRH23,0,2,RCB16
3,SRH19,9,6,RCB17
3,SRH24,0,1,RCB6
3,SRH14,3,4,NO
4,RR8,6,6,CSK3
4,RR1,69,47,CSK5
4,RR15,74,32,CSK14
4,RR12,0,0,RO
4,RR22,5,9,CSK4
4,RR18,10,8,CSK5
4,RR13,6,4,CSK5
4,RR6,10,9,NO
4,RR4,27,8,NO
4,CSK19,21,21,RR7
4,CSK20,33,21,RR18
4,CSK6,72,37,RR4
4,CSK5,17,6,RR18
4,CSK7,0,1,RR18
4,CSK11,22,16,CSK5
4,CSK1,29,17,NO
4,CSK10,1,2,NO
5,MI7,1,3,KKR16
5,MI1,80,54,KKR16
5,MI21,47,28,RO
5,MI19,21,13,KKR11
5,MI12,18,13,KKR14
5,MI15,13,7,NO
5,MI13,1,3,NO
5,KKR17,7,11,MI3
5,KKR11,9,10,MI14
5,KKR6,30,23,MI5
5,KKR13,24,18,MI15
5,KKR1,16,20,MI4
5,KKR14,11,11,MI4
5,KKR10,1,3,MI3
5,KKR3,33,12,MI14
5,KKR16,9,10,MI5
5,KKR7,1,2,NO
6,KXIP1,132,69,NO
6,KXIP2,26,20,RCB3
6,KXIP17,17,18,RCB6
6,KXIP12,5,6,RCB6
6,KXIP15,15,8,NO
6,RCB12,1,2,KXIP5
6,RCB7,20,21,KXIP19
6,RCB14,0,3,KXIP13
6,RCB1,1,5,KXIP5
6,RCB5,28,18,KXIP4
6,RCB19,30,27,KXIP19
6,RCB6,12,12,KXIP12
6,RCB20,0,2,KXIP19
6,RCB16,6,7,KXIP4
6,RCB17,1,2,NO
6,RCB3,1,3,KXIP4
7,DC19,64,43,CSK4
7,DC6,35,27,CSK4
7,DC11,37,25,NO
7,DC1,26,22,CSK5
7,DC20,5,3,NO
7,CSK19,10,15,DC10
7,CSK20,14,16,DC12
7,CSK6,43,35,DC15
7,CSK7,5,10,RO
7,CSK11,26,21,DC10
7,CSK1,15,12,DC15
7,CSK10,12,9,DC15
7,CSK5,1,2,NO
8,SRH1,36,30,KKR20
8,SRH6,5,10,KKR3
8,SRH15,51,38,KKR14
8,SRH17,30,31,RO
8,SRH12,11,8,NO
8,SRH3,2,3,NO
8,KKR17,70,62,NO
8,KKR11,0,2,SRH4
8,KKR13,26,13,SRH14
8,KKR6,0,3,SRH16
8,KKR1,42,29,NO
9,KXIP1,69,54,RR14
9,KXIP2,106,50,RR6
9,KXIP12,13,9,NO
9,KXIP17,25,8,NO
9,RR5,4,7,KXIP5
9,RR1,50,27,KXIP16
9,RR15,85,42,KXIP13
9,RR18,53,31,KXIP13
9,RR22,9,4,KXIP13
9,RR4,13,3,NO
9,RR13,0,2,KXIP4
9,RR6,4,1,NO
10,RCB12,54,40,MI3
10,RCB7,52,35,MI3
10,RCB1,3,11,MI5
10,RCB5,55,24,NO
10,RCB6,27,10,NO
10,MI1,8,8,RCB19
10,MI7,14,15,RCB3
10,MI21,0,2,RCB18
10,MI8,99,58,RCB18
10,MI12,15,13,RCB21
10,MI15,60,24,NO
10,MI13,0,0,NO
11,SRH1,45,33,DC22
11,SRH6,53,48,DC15
11,SRH15,3,5,DC22
11,SRH22,41,26,DC15
11,SRH2,12,7,NO
11,SRH3,1,1,NO
11,DC19,2,5,SRH23
11,DC6,34,31,SRH16
11,DC1,17,21,SRH16
11,DC11,28,27,SRH16
11,DC8,21,12,SRH23
11,DC20,11,9,SRH14
11,DC12,5,6,SRH4
11,DC15,15,7,NO
11,DC10,3,2,NO
12,KKR17,47,34,RR4
12,KKR11,15,14,RR21
12,KKR13,22,17,RR18
12,KKR14,24,14,RR14
12,KKR6,1,3,RR4
12,KKR1,34,23,NO
12,KKR3,12,10,RR6
12,KKR9,8,5,NO
12,RR5,21,16,KKR16
12,RR1,3,7,KKR3
12,RR15,8,9,KKR16
12,RR22,2,7,KKR9
12,RR13,1,6,KKR9
12,RR18,14,10,KKR20
12,rom,54,36,NO
12,RR7,5,7,KKR11
12,RR4,6,4,KKR20
12,RR21,9,13,KKR7
12,RR14,7,5,NO
13,MI7,0,5,KXIP5
13,MI1,70,45,KXIP13
13,MI21,10,7,RO
13,MI8,28,32,KXIP7
13,MI15,47,20,NO
13,MI12,30,11,NO
13,KXIP1,17,19,MI5
13,KXIP2,25,18,MI4
13,KXIP15,0,3,MI13
13,KXIP17,44,27,MI14
13,KXIP12,11,18,MI5
13,KXIP16,7,7,MI4
13,KXIP10,7,8,MI14
13,KXIP7,22,13,NO
13,KXIP19,1,5,MI3
13,KXIP13,2,2,NO
14,SRH1,28,29,CSK4
14,SRH6,0,3,CSK3
14,SRH15,29,21,CSK18
14,SRH22,9,13,RO
14,SRH8,51,26,NO
14,SRH3,31,24,CSK3
14,SRH2,8,6,NO
14,CSK6,22,19,RO
14,CSK20,1,6,SRH23
14,CSK15,8,9,SRH14
14,CSK11,3,10,SRH2
14,CSK1,47,36,NO
14,CSK10,50,35,SRH14
14,CSK5,15,5,NO
15,RR5,22,12,RCB16
15,RR1,5,5,RCB18
15,RR15,4,3,RCB3
15,RR22,17,22,RCB3
15,RR10,47,39,RCB3
15,RR13,16,18,RCB18
15,RR18,24,12,NO
15,RR4,16,10,NO
15,RCB12,63,45,RR4
15,RCB7,8,7,RR7
15,RCB1,72,53,NO
15,RCB5,12,10,NO
16,DC19,66,41,KKR9
16,DC6,26,16,KKR20
16,DC1,88,38,NO
16,DC11,38,17,KKR14
16,DC20,1,3,KKR14
16,DC8,7,5,NO
16,KKR17,28,22,DC22
16,KKR11,3,5,DC10
16,KKR13,58,35,DC13
16,KKR14,13,8,DC15
16,KKR6,6,8,DC13
16,KKR1,44,18,DC10
16,KKR3,5,4,DC10
16,KKR19,36,16,DC20
16,KKR9,3,3,NO
16,KKR16,1,3,NO
17,MI1,6,5,SRH19
17,MI7,67,39,SRH16
17,MI21,27,18,SRH11
17,MI8,31,23,SRH19
17,MI12,28,19,SRH11
17,MI15,25,13,NO
17,MI13,20,4,NO
17,SRH1,60,44,MI14
17,SRH6,25,15,MI3
17,SRH15,30,19,MI14
17,SRH22,3,5,MI3
17,SRH8,8,7,MI13
17,SRH3,10,13,MI4
17,SRH2,20,9,MI4
17,SRH16,3,7,NO
17,SRH19,0,1,NO
18,KXIP1,63,52,CSK18
18,KXIP2,26,19,CSK4
