MatchID,BowlerID,BallsBowled,WicketsTaken,RunsConceded
1,CSK3,24,2,32
1,CSK5,24,1,28
1,CSK14,24,3,38
1,CSK4,24,1,21
1,CSK10,24,2,42
1,MI3,20,1,23
1,MI14,24,1,27
1,MI4,24,1,43
1,MI13,24,1,37
1,MI5,24,1,36
2,KXIP5,24,2,24
2,KXIP13,24,3,15
2,KXIP9,24,0,56
2,KXIP7,24,0,39
2,KXIP19,24,2,22
2,DC10,24,0,33
2,DC18,24,1,45
2,DC15,24,2,28
2,DC2,6,2,2
2,DC12,24,1,14
2,DC20,18,2,29
3,SRH23,24,0,25
3,SRH19,24,0,36
3,SRH14,24,1,34
3,SRH24,4,0,6
3,SRH20,8,1,14
3,SRH16,24,0,31
3,SRH3,12,1,16
3,RCB17,22,1,33
3,RCB20,24,0,48
3,RCB16,24,2,25
3,RCB19,6,0,7
3,RCB3,24,3,18
3,RCB6,18,2,15
4,CSK3,24,1,31
4,CSK5,24,3,33
4,CSK14,24,1,56
4,CSK10,24,0,40
4,CSK4,24,1,55
4,RR21,24,0,44
4,RR4,24,1,26
4,RR7,24,1,38
4,RR6,24,1,54
4,RR18,24,3,37
5,KKR15,18,0,34
5,KKR16,24,2,32
5,KKR3,18,0,49
5,KKR11,24,1,22
5,KKR14,12,1,17
5,KKR7,24,0,39
5,MI3,24,2,30
5,MI14,24,2,25
5,MI4,24,2,32
5,MI5,24,2,26
5,MI15,18,1,21
5,MI13,6,0,10
6,RCB20,18,0,35
6,RCB17,24,0,57
6,RCB16,24,0,37
6,RCB3,24,1,25
6,RCB19,12,0,13
6,RCB6,18,2,33
6,KXIP5,18,2,17
6,KXIP13,18,1,14
6,KXIP19,24,3,32
6,KXIP4,18,3,21
6,KXIP16,12,0,13
6,KXIP12,12,1,10
7,CSK3,24,0,38
7,CSK5,24,1,27
7,CSK8,24,0,28
7,CSK4,24,2,33
7,CSK10,24,0,44
7,DC15,24,3,26
7,DC12,24,1,18
7,DC10,24,2,21
7,DC3,24,0,42
7,DC22,24,0,23
8,KKR11,24,0,31
8,KKR3,24,1,19
8,KKR16,12,0,15
8,KKR7,12,0,15
8,KKR20,24,1,25
8,KKR9,12,0,17
8,KKR14,12,1,16
8,SRH23,18,0,29
8,SRH4,18,1,28
