PlayerID, name, role, battinghand, bowlinghand, bowlingtype ,TeamID
CSK1, MS Dhoni, Captain|Wicketkeeper, Right, Right, Fast,CSK
CSK2, KM Asif, Bowler, Right, Right, Fast,CSK
CSK3, Deepak Chahar, Bowler, Right, Right, Fast,CSK
CSK4, Piyush Chawla, Allrounder, Left, Right, Spin,CSK
CSK5, Sam Curran, Allrounder, Left, Left, Fast,CSK
CSK6, Faf du Plessis, Batsman, Right, Right, Spin,CSK
CSK7, Ruturaj Gaikwad, Batsman, Right, Right, Spin,CSK
CSK8, Josh Hazlewood, Bowler, Left, Right, Fast,CSK
CSK9, Imran Tahir, Bowler, Right, Right, Spin,CSK
CSK10, Ravindra Jadeja, Allrounder, Left, Left, Spin,CSK
CSK11, Kedar Jadhav, Allrounder, Right, Right, Spin,CSK
CSK12, Narayan Jagadeesan, Batsman, Right, Does not bowl, Does not bowl,CSK
CSK13, Monu Kumar, Allrounder, Right, Right, Fast,CSK
CSK14, Lungi Ngidi, Bowler, Right, Right, Fast,CSK
CSK15, Ambati Rayudu, Batsman, Right, Right, Spin,CSK
CSK16, Mitchell Santner, Allrounder, Left, Left, Spin,CSK
CSK17, Karn Sharma, Bowler, Left, Right, Spin,CSK
CSK18, Shardul Thakur, Bowler, Right, Right, Fast,CSK
CSK19, Murali Vijay, Batsman, Right, Right, Spin,CSK
CSK20, Shane Watson, Allrounder, Right, Right, Fast,CSK
CSK21, Dwayne Bravo, Allrounder, Right, Right, Fast,CSK
CSK22, Harbhajan Singh, Bowler, Right, Right, Spin,CSK
CSK23, Suresh Raina, Batsman, Left, Right, Spin,CSK
DC1, Shreyas Iyer, Captain|Batsman, Right, Right, Spin,DC
DC2, Ravichandran Ashwin, Allrounder, Right, Right, Spin,DC
DC3, Avesh Khan, Bowler, Right, Right, Fast,DC
DC4, Alex Carey, Wicketkeeper, Left, Does not bowl, Does not bowl,DC
DC5, Tushar Deshpande, Bowler, Left, Right, Fast,DC
DC6, Shikhar Dhawan, Batsman, Left, Right, Spin,DC
DC7, Praveen Dubey, Bowler, Right, Right, Spin,DC
DC8, Shimron Hetmyer, Batsman, Left, Does not bowl, Does not bowl,DC
DC9, Sandeep Lamichhane, Bowler, Right, Right, Spin,DC
DC10, Anrich Nortje, Bowler, Right, Right, Fast,DC
DC11, Rishabh Pant, Wicketkeeper, Left, Does not bowl, Does not bowl,DC
DC12, Axar Patel, Allrounder, Left, Left, Spin,DC
DC13, Harshal Patel, Bowler, Right, Right, Fast,DC
DC14, Keemo Paul, Allrounder, Right, Right, Fast,DC
DC15, Kagiso Rabada, Bowler, Left, Right, Fast,DC
DC16, Ajinkya Rahane, Batsman, Right, Right, Fast,DC
DC17, Daniel Sams, Allrounder, Right, Left, Fast,DC
DC18, Mohit Sharma, Bowler, Right, Right, Fast,DC
DC19, Prithvi Shaw, Batsman, Right, Right, Spin,DC
DC20, Marcus Stoinis, Batsman, Right, Right, Fast,DC
DC21, Lalit Yadav, Allrounder, Right, Right, Spin,DC
DC22, Amit Mishra, Bowler, Right, Right, Spin,DC
DC23, Jason Roy, Batsman, Right, Does not bowl, Does not bowl,DC
DC24, Ishant Sharma, Bowler, Right, Right, Fast,DC
DC25, Chris Woakes, Allrounder, Right, Right, Fast,DC
KXIP1, KL Rahul, Captain|Wicketkeeper, Right, Does not bowl, Does not bowl,KXIP
KXIP2, Mayank Agarwal, Batsman, Right, Does not bowl, Does not bowl,KXIP
KXIP3, Arshdeep Singh, Bowler, Left, Left, Fast,KXIP
KXIP4, Murugan Ashwin, Bowler, Right, Right, Spin,KXIP
KXIP5, Sheldon Cottrell, Bowler, Right, Left, Fast,KXIP
KXIP6, Chris Gayle, Allrounder, Left, Right, Spin,KXIP
KXIP7, Krishnappa Gowtham, Allrounder, Right, Right, Spin,KXIP
KXIP8, Deepak Hooda, Allrounder, Right, Right, Spin,KXIP
KXIP9, Chris Jordan, Bowler, Right, Right, Fast,KXIP
KXIP10, Sarfaraz Khan, Batsman, Right, Right, Spin,KXIP
KXIP11, Mandeep Singh, Allrounder, Right, Right, Fast,KXIP
KXIP12, Glenn Maxwell, Allrounder, Right, Right, Spin,KXIP
KXIP13, Mohammed Shami, Bowler, Right, Right, Fast,KXIP
